y1,y2,y3,y4,y5,y6,y7,y8,y9
10,SEDAN,SP,68,F,Casado,57187,"0,80",0
5,HATCH,PE,25,M,Solteiro,41982,"0,02",0
4,PICAPE PESADA,MS,39,M,Casado,35940,"0,81",0
0,HATCH,DF,53,F,Casado,34266,"0,57",0
10,MONOVOLUME,SP,62,M,Casado,39299,"0,79",0
3,HATCH,MG,58,M,Casado,26016,"0,83",0
10,SUV,SP,56,F,Casado,35340,"0,83",0
5,ESPORTIVO,PR,63,F,Casado,22841,"0,78",0
10,HATCH,SP,55,F,Solteiro,7161,"0,82",0
8,HATCH,SP,53,M,Casado,37612,"0,03",0
5,PICAPE LEVE,SP,62,F,Casado,27544,"0,77",0
10,SEDAN,SP,47,F,Casado,32538,"0,82",0
0,SEDAN,MG,70,M,Casado,17133,"0,76",0
6,SEDAN,MG,38,M,Casado,75025,"0,82",0
9,HATCH,SP,41,M,Casado,8189,"0,07",0
2,SUV,RJ,65,M,Casado,49751,"0,76",0
7,HATCH,SP,79,M,Casado,26554,"0,81",0
10,HATCH,BA,46,F,Casado,28776,"0,81",2
4,HATCH,CE,43,F,Casado,22067,"0,77",0
10,HATCH,SP,74,M,Casado,14178,"0,77",0
10,HATCH,SP,50,M,Casado,20412,"0,08",0
2,HATCH,RS,40,F,Casado,21628,"0,34",0
9,SEDAN,CE,55,F,Casado,24981,"0,82",0
10,SEDAN,SP,63,F,Casado,52422,"0,80",0
9,SEDAN,SP,76,M,Casado,24511,"0,80",0
7,SEDAN,PR,82,M,Casado,56695,"0,80",0
2,MONOVOLUME,SP,51,M,Casado,20956,"0,08",0
5,PICAPE LEVE,SP,38,F,Casado,34477,"0,48",0
5,HATCH,SP,30,F,Casado,26581,"0,79",0
10,HATCH,SP,58,F,Solteiro,27517,"0,81",1
2,HATCH,MG,43,M,Casado,37885,"0,76",0
10,PICAPE PESADA,SP,73,M,Casado,72071,"0,77",0
10,SUV,SP,67,M,Casado,51819,"0,77",0
0,SEDAN,SP,68,M,Casado,46019,"0,77",0
2,SEDAN,SP,65,F,Casado,24687,"0,81",0
4,HATCH,SP,38,F,Solteiro,24886,"0,83",0
10,MONOVOLUME,SP,53,M,Casado,40533,"0,13",0
3,HATCH,SP,25,F,Solteiro,33650,"0,63",0
10,HATCH,SP,72,M,Casado,32161,"0,78",0
9,HATCH,SP,28,F,Solteiro,21260,"0,79",0
10,SUV,RS,56,M,Casado,45170,"0,76",0
1,SUV,SP,73,M,Casado,35069,"0,77",0
10,SEDAN,PR,45,M,Casado,24884,"0,02",1
3,HATCH,DF,54,F,Divorciado,25015,"0,76",0
9,PICAPE LEVE,SP,78,M,Casado,20699,"0,01",0
1,HATCH,SP,54,M,Casado,27932,"0,01",0
10,HATCH,SP,45,F,Casado,15449,"0,69",0
