animal,tratamento,linhagem,sessao,ordem,Npepara1,Ndei1,Npemov1,Ncnor1,Ncalta1,Ncbaixa1,Ncoutra1,Ncgrup1,Ncobs1,Ncpar1,Ncsol1,Nolev1,Noneu1,Notras1,Noass1,Nonvis1,Ncdnmov1,Ncdmov1,Nncome1,Ncome1,Nrum1,Ncdbai1,Ncdalta1,Ncdpern1,Npepara2,Ndei2,Npemov2,Ncnor2,Ncalta2,Ncbaixa2,Ncoutra2,Ncgrup2,Ncobs2,Ncpar2,Ncsol2,Nolev2,Noneu2,Notras2,Noass2,Nonvis2,Ncdnmov2,Ncdmov2,Nncome2,Ncome2,Nrum2,Ncdbai2,Ncdalta2,Ncdpern2,Npepara3,Ndei3,Npemov3,Ncnor3,Ncalta3,Ncbaixa3,Ncoutra3,Ncgrup3,Ncobs3,Ncpar3,Ncsol3,Nolev3,Noneu3,Notras3,Noass3,Ncdnmov3,Ncdmov3,Nncome3,Ncome3,Nrum3,Ncdbai3,Ncdalta3,Ncdpern3,Ncpern3
354,2,1,2,12,1,0,0,1,0,0,4,4,3,6,0,6,1,0,5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,14,13,1,0,0,13,12,0,2,0,1,3,2,0,6,2,5,4,0,3,0,0,2,0,3,2,2,1,1,1,0,0
297,2,1,2,13,1,0,0,3,2,0,3,2,1,2,0,6,0,0,6,0,3,2,1,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,2,0,3,0,7,6,0,0,1,6,5,0,1,0,0,5,4,1,6,0,3,2,0,2,2,1,4,0,3,2,0,0,1,1,0,0
531,2,1,2,14,1,0,0,1,0,1,1,1,0,0,1,0,0,1,3,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,32,32,1,0,0,30,30,0,0,1,0,2,2,0,1,0,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0
140,2,1,2,15,2,0,1,3,1,1,2,4,11,9,4,4,0,0,3,0,5,4,1,0,1,1,1,0,1,0,0,3,0,2,2,0,2,0,1,2,0,0,1,0,8,8,1,0,0,6,6,0,2,1,1,2,0,1,2,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0
519,2,2,2,16,1,0,0,2,2,0,4,1,2,1,0,2,1,0,3,0,4,3,1,0,0,3,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,17,16,1,0,0,17,16,0,2,0,1,2,0,2,5,4,3,6,2,3,0,0,3,0,3,2,1,0,0,3,2,0
433,2,2,2,17,4,1,3,3,1,2,3,1,4,1,2,3,0,0,3,0,4,3,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,2,1,0,2,0,1,0,0,1,1,0,3,0,2,1,0,0,1,1,0,0
372,2,2,2,18,3,1,2,5,2,2,5,1,4,2,3,3,1,0,3,0,2,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,3,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
318,2,2,2,19,1,0,0,5,4,1,5,4,12,14,1,14,3,1,11,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,22,21,1,0,0,19,18,0,2,0,1,5,3,2,3,3,9,10,2,11,4,1,9,0,3,2,1,0,0,1,0,0
109,2,2,2,20,2,1,1,4,1,3,3,0,3,1,0,3,0,0,3,0,5,4,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0,13,12,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,0,1,0,4,3,0,0,1,1,0,0
192,2,1,3,1,3,0,2,9,6,2,1,6,10,8,1,9,0,1,8,0,1,0,1,0,0,1,0,0,1,0,0,2,2,0,3,1,2,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,3,3,0,3,5,7,3,0,5,5,0,3,0,2,1,1,0,0,1,0,0
