tipo	idade	sexo	civil	valor	expos	nsinist
hatch	54	F	Divorciado	25.015	0.76	0
picape	78	M	Casado	20.699	0.01	0
hatch	54	M	Casado	27.932	0.01	0
hatch	45	F	Casado	15.449	0.69	0
picape	52	M	Casado	36.185	0.77	0
sedan	43	M	Casado	29.575	0.66	0
suv	48	M	Casado	58.386	0.76	0
hatch	43	M	Casado	19.478	0.8	0
sedan	43	M	Casado	41.606	0.04	0
sedan	43	M	Casado	50.773	0.81	1
hatch	39	M	Casado	15.133	0.25	1
suv	58	M	Casado	58.813	0.84	0
sedan	54	M	Casado	64.467	0.77	0
sedan	34	M	Casado	28.992	0.81	0
suv	41	F	Casado	49.152	0.11	0
suv	60	F	Casado	108.493	0.8	0
hatch	49	M	Viuvo	22.425	0.83	0
hatch	36	F	Casado	18.559	0.08	0
hatch	69	F	Casado	28.277	0.78	0
mono	55	F	Casado	44.593	0.36	0
mono	55	F	Casado	24.776	0.76	0
suv	34	F	Casado	49.688	0.84	0
mono	55	M	Casado	37.93	0.03	0
sedan	69	F	Casado	47.945	0.35	0
mono	67	M	Casado	24.468	0.79	0
picape	35	M	Casado	16.749	0.33	0
hatch	92	M	Casado	24.837	0.48	0
hatch	39	M	Divorciado	33.11	0.83	0
wagon	56	M	Casado	24.651	0.76	0
suv	73	M	Divorciado	68.495	0.76	0
sedan	63	F	Casado	26.338	0.17	0
mono	65	M	Casado	33.12	0.82	0
sedan	67	M	Casado	32.254	0.64	1
sedan	59	M	Solteiro	71.278	0.68	0
suv	57	F	Casado	58.746	0.81	0
hatch	48	M	Casado	34.266	0.79	0
hatch	36	M	Casado	24.832	0.82	2
sedan	60	F	Casado	50.818	0.62	0
mono	80	M	Casado	13.836	0.77	0
hatch	60	F	Divorciado	39.713	0.81	0
mono	35	M	Solteiro	15.133	0.01	0
hatch	69	M	Casado	24.837	0.78	0
suv	56	F	Divorciado	57.457	0.81	0
sedan	51	M	Casado	48.628	0.82	2
mono	37	F	Casado	25.934	0.78	0
hatch	56	M	Casado	7.069	0.8	0
picape	70	M	Casado	24.741	0.81	0
picape	56	M	Casado	61.593	0.78	0
sedan	62	M	Casado	18.176	0.8	0
hatch	56	F	Divorciado	18.542	0.82	0
mono	23	M	Solteiro	37.619	0.78	0
mono	35	M	Casado	57.038	0.22	0
hatch	93	M	Casado	6.677	0.82	0
sedan	71	M	Casado	77.545	0.82	0
hatch	78	M	Casado	28.019	0.83	0
sedan	65	M	Casado	38.328	0.76	0
sedan	61	M	Casado	32.538	0.78	1
sedan	60	M	Casado	21.328	0.42	0
hatch	45	M	Casado	23.769	0.82	0
sedan	48	M	Casado	38.795	0.35	0
suv	55	M	Casado	60.219	0.77	0
sedan	52	M	Casado	26.263	0.76	0
hatch	35	F	Solteiro	6.716	0.84	0
hatch	57	M	Casado	22.212	0.67	0
sedan	62	M	Viuvo	48.541	0.77	0
suv	63	M	Casado	69.299	0.77	0
hatch	57	M	Casado	36.103	0.77	0
