period	repart	corled	gaiola	dia	ovos
2	4	azl	3	2	6
2	4	azl	4	2	6
2	4	azl	5	2	9
2	4	azl	6	2	8
2	5	vrd	1	2	9
2	5	vrd	2	2	7
2	5	vrd	3	2	7
2	5	vrd	4	2	10
2	5	vrd	5	2	5
2	5	vrd	6	2	8
2	1	amr	1	3	8
2	1	amr	2	3	9
2	1	amr	3	3	7
2	1	amr	4	3	9
2	1	amr	5	3	8
2	1	amr	6	3	6
2	2	brn	1	3	9
2	2	brn	2	3	8
2	2	brn	3	3	7
2	2	brn	4	3	8
2	2	brn	5	3	8
2	2	brn	6	3	8
2	3	vrm	1	3	4
2	3	vrm	2	3	6
2	3	vrm	3	3	7
2	3	vrm	4	3	9
2	3	vrm	5	3	6
2	3	vrm	6	3	9
2	4	azl	1	3	9
2	4	azl	2	3	8
2	4	azl	3	3	7
2	4	azl	4	3	8
2	4	azl	5	3	9
2	4	azl	6	3	5
2	5	vrd	1	3	9
2	5	vrd	2	3	7
2	5	vrd	3	3	8
2	5	vrd	4	3	6
2	5	vrd	5	3	9
2	5	vrd	6	3	9
2	1	amr	1	4	5
2	1	amr	2	4	10
2	1	amr	3	4	6
2	1	amr	4	4	8
2	1	amr	5	4	10
2	1	amr	6	4	6
2	2	brn	1	4	8
2	2	brn	2	4	8
2	2	brn	3	4	9
2	2	brn	4	4	7
2	2	brn	5	4	8
2	2	brn	6	4	5
2	3	vrm	1	4	6
2	3	vrm	2	4	8
2	3	vrm	3	4	9
2	3	vrm	4	4	6
2	3	vrm	5	4	7
2	3	vrm	6	4	6
2	4	azl	1	4	8
2	4	azl	2	4	9
2	4	azl	3	4	8
2	4	azl	4	4	7
2	4	azl	5	4	9
2	4	azl	6	4	6
2	5	vrd	1	4	8
2	5	vrd	2	4	8
2	5	vrd	3	4	9
2	5	vrd	4	4	10
2	5	vrd	5	4	9
2	5	vrd	6	4	7
2	1	amr	1	5	8
2	1	amr	2	5	8
2	1	amr	3	5	8
2	1	amr	4	5	7
2	1	amr	5	5	7
2	1	amr	6	5	5
2	2	brn	1	5	8
2	2	brn	2	5	8
2	2	brn	3	5	7
2	2	brn	4	5	8
2	2	brn	5	5	8
2	2	brn	6	5	6
2	3	vrm	1	5	10
2	3	vrm	2	5	7
2	3	vrm	3	5	8
2	3	vrm	4	5	6
2	3	vrm	5	5	7
2	3	vrm	6	5	7
2	4	azl	1	5	9
2	4	azl	2	5	8
2	4	azl	3	5	8
2	4	azl	4	5	5
2	4	azl	5	5	9
2	4	azl	6	5	8
2	5	vrd	1	5	10
2	5	vrd	2	5	6
2	5	vrd	3	5	8
2	5	vrd	4	5	6
2	5	vrd	5	5	9
2	5	vrd	6	5	9
2	1	amr	1	6	7
2	1	amr	2	6	8
2	1	amr	3	6	7
2	1	amr	4	6	8
2	1	amr	5	6	8
2	1	amr	6	6	6
2	2	brn	1	6	9
2	2	brn	2	6	9
2	2	brn	3	6	9
2	2	brn	4	6	8
2	2	brn	5	6	9
2	2	brn	6	6	6
2	3	vrm	1	6	8
2	3	vrm	2	6	9
2	3	vrm	3	6	8
2	3	vrm	4	6	9
2	3	vrm	5	6	8
2	3	vrm	6	6	10
2	4	azl	1	6	10
2	4	azl	2	6	9
2	4	azl	3	6	7
2	4	azl	4	6	10
2	4	azl	5	6	9
2	4	azl	6	6	6
2	5	vrd	1	6	9
2	5	vrd	2	6	5
2	5	vrd	3	6	9
2	5	vrd	4	6	9
2	5	vrd	5	6	10
2	5	vrd	6	6	9
2	1	amr	1	7	9
2	1	amr	2	7	8
2	1	amr	3	7	7
2	1	amr	4	7	6
2	1	amr	5	7	7
2	1	amr	6	7	5
2	2	brn	1	7	9
2	2	brn	2	7	8
2	2	brn	3	7	8
2	2	brn	4	7	7
2	2	brn	5	7	8
2	2	brn	6	7	5
2	3	vrm	1	7	7
2	3	vrm	2	7	7
2	3	vrm	3	7	7
2	3	vrm	4	7	6
2	3	vrm	5	7	8
2	3	vrm	6	7	6
2	4	azl	1	7	8
2	4	azl	2	7	8
2	4	azl	3	7	7
2	4	azl	4	7	10
2	4	azl	5	7	9
2	4	azl	6	7	9
2	5	vrd	1	7	7
2	5	vrd	2	7	8
2	5	vrd	3	7	7
2	5	vrd	4	7	7
2	5	vrd	5	7	6
2	5	vrd	6	7	9
2	1	amr	1	8	9
2	1	amr	2	8	10
2	1	amr	3	8	6
2	1	amr	4	8	8
2	1	amr	5	8	7
2	1	amr	6	8	6
2	2	brn	1	8	9
2	2	brn	2	8	8
2	2	brn	3	8	8
2	2	brn	4	8	8
2	2	brn	5	8	8
2	2	brn	6	8	6
2	3	vrm	1	8	5
2	3	vrm	2	8	8
2	3	vrm	3	8	9
2	3	vrm	4	8	7
2	3	vrm	5	8	7
2	3	vrm	6	8	7
2	4	azl	1	8	9
2	4	azl	2	8	9
2	4	azl	3	8	7
2	4	azl	4	8	7
2	4	azl	5	8	9
2	4	azl	6	8	7
2	5	vrd	1	8	7
2	5	vrd	2	8	7
2	5	vrd	3	8	10
2	5	vrd	4	8	7
2	5	vrd	5	8	8
2	5	vrd	6	8	8
2	1	amr	1	9	5
2	1	amr	2	9	8
2	1	amr	3	9	7
2	1	amr	4	9	9
2	1	amr	5	9	8
2	1	amr	6	9	6
2	2	brn	1	9	7
2	2	brn	2	9	9
2	2	brn	3	9	9
2	2	brn	4	9	7
2	2	brn	5	9	8
2	2	brn	6	9	8
2	3	vrm	1	9	6
2	3	vrm	2	9	8
2	3	vrm	3	9	9
2	3	vrm	4	9	8
2	3	vrm	5	9	7
2	3	vrm	6	9	6
2	4	azl	1	9	8
2	4	azl	2	9	8
2	4	azl	3	9	8
2	4	azl	4	9	6
2	4	azl	5	9	9
2	4	azl	6	9	6
2	5	vrd	1	9	10
2	5	vrd	2	9	9
2	5	vrd	3	9	9
2	5	vrd	4	9	9
2	5	vrd	5	9	7
2	5	vrd	6	9	8
2	1	amr	1	10	9
2	1	amr	2	10	7
2	1	amr	3	10	8
2	1	amr	4	10	7
2	1	amr	5	10	6
2	1	amr	6	10	6
